資料集識別碼,資料集名稱,服務分類,檔案格式,資料下載網址,編碼格式,資料集類型,資料集描述,主要欄位說明,提供機關,更新頻率,授權方式,相關網址,計費方式,提供機關聯絡人姓名,提供機關聯絡人電話,上架日期,詮釋資料更新時間,備註
13349,農保生效中身心障礙被保險人人數統計表,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17010000J-000043-UXP;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000043-Kop;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000043-Hmx;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000043-krQ,UTF-8;UTF-8;UTF-8;UTF-8,b01,最新各縣市政府補助農保身心障礙各等級被保險人人數統計資料,年月;縣市代號;縣市名稱;極重度人數;重度人數;中度人數;輕度人數,勞動部勞工保險局,每月,政府資料開放授權條款-第1版,,免費,"畢琪英 小姐",02-23961266#1052,"2015/03/30 08:00","2018/09/17 16:45","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
13350,農保被保險人應負擔保險費金額表,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17010000J-000044-29l;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000044-C38;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000044-FX6;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000044-DNH,UTF-8;UTF-8;UTF-8;UTF-8,b01,提供農保被保險人依加保天數及身心障礙狀況了解應負擔之保險費金額,加保天數;一般被保險人;極重度及重度身心障礙者;中度身心障礙者;輕度身心障礙者,勞動部勞工保險局,每日,政府資料開放授權條款-第1版,,免費,"畢琪英 小姐",02-23961266#1052,"2015/03/30 08:00","2018/07/27 15:06","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
13351,勞工保險單位、人數,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17010000J-000045-km1;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000045-W80;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000045-AZ2;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000045-Txv,UTF-8;UTF-8;UTF-8;UTF-8,b01,最近一年度之勞保單位、人數－按業別、規模別分,統計期;規模別;計量單位;農林漁牧業;礦業及土石採取業;製造業;電力及燃氣供應業;用水供應及污染整治業;營建工程業;批發及零售業;運輸及倉儲業;住宿及餐飲業;出版影音製作傳播及資通訊服務業;金融及保險業;不動產業;專業科學及技術服務業;支援服務業;公共行政及國防_強制性社會安全;教育業;醫療保健及社會工作服務業;藝術娛樂及休閒服務業;其他服務業,勞動部勞工保險局,每年,政府資料開放授權條款-第1版,,免費,"陸素梅 小姐",02-23961266#2742,"2015/03/30 08:00","2018/07/27 15:07","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
13352,就業保險單位、人數,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17010000J-000046-cOu;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000046-Pb9;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000046-iVM;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000046-6ts,UTF-8;UTF-8;UTF-8;UTF-8,b01,最近一年度之就保單位、人數－按業別、規模別分,統計期;規模別;計量單位;農林漁牧業;礦業及土石採取業;製造業;電力及燃氣供應業;用水供應及污染整治業;營建工程業;批發及零售業;運輸及倉儲業;住宿及餐飲業;出版影音製作傳播及資通訊服務業;金融及保險業;不動產業;專業科學及技術服務業;支援服務業;公共行政及國防_強制性社會安全;教育業;醫療保健及社會工作服務業;藝術娛樂及休閒服務業;其他服務業,勞動部勞工保險局,每年,政府資料開放授權條款-第1版,,免費,"陸素梅 小姐",02-23961266#2742,"2015/03/30 08:00","2018/07/27 15:07","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
13353,勞工退休金雇主提繳人數,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17010000J-000047-Rxj;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000047-tdR;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000047-42s;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000047-7vN,UTF-8;UTF-8;UTF-8;UTF-8,b01,最近一年度之勞退雇主提繳人數－按業別、提繳率等級分,統計期;提繳率等級;農林漁牧業;礦業及土石採取業;製造業;電力及燃氣供應業;用水供應及污染整治業;營建工程業;批發及零售業;運輸及倉儲業;住宿及餐飲業;出版影音製作傳播及資通訊服務業;金融及保險業;不動產業;專業科學及技術服務業;支援服務業;公共行政及國防_強制性社會安全;教育業;醫療保健及社會工作服務業;藝術娛樂及休閒服務業;其他服務業,勞動部勞工保險局,每年,政府資料開放授權條款-第1版,,免費,"陸素梅 小姐",02-23961266#2742,"2015/03/30 08:00","2018/07/27 15:07","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
13354,勞工退休金個人提繳人數,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17010000J-000048-JDE;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000048-ltV;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000048-D1Q;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000048-512,UTF-8;UTF-8;UTF-8;UTF-8,b01,最近一年度之勞退個人提繳人數－按業別、提繳率等級分,統計期;提繳率等級;農林漁牧業;礦業及土石採取業;製造業;電力及燃氣供應業;用水供應及污染整治業;營建工程業;批發及零售業;運輸及倉儲業;住宿及餐飲業;出版影音製作傳播及資通訊服務業;金融及保險業;不動產業;專業科學及技術服務業;支援服務業;公共行政及國防_強制性社會安全;教育業;醫療保健及社會工作服務業;藝術娛樂及休閒服務業;其他服務業,勞動部勞工保險局,每年,政府資料開放授權條款-第1版,,免費,"陸素梅 小姐",02-23961266#2742,"2015/03/30 08:00","2018/07/27 15:07","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
13355,勞工退休金提繳人數(不含重複提繳),求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17010000J-000049-7EB;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000049-0L3;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000049-q9p;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000049-h17,UTF-8;UTF-8;UTF-8;UTF-8,b01,最近一年度之勞退提繳人數(不含重複提繳)－按性別、年齡組別分,統計期;年齡組別;男;女,勞動部勞工保險局,每年,政府資料開放授權條款-第1版,,免費,"陸素梅 小姐",02-23961266#2742,"2015/03/30 08:00","2018/07/27 15:07","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
13356,農民健康保險現金給付件數、金額,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17010000J-000050-L0H;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000050-8bH;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000050-oFK;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000050-z7m,UTF-8;UTF-8;UTF-8;UTF-8,b01,最近一年度之農保現金給付件數、金額－按給付種類、性別及年齡組別分,統計期;年齡組別;性別;生育給付件數;生育給付金額;身心障礙給付件數;身心障礙給付金額;喪葬津貼件數;喪葬津貼金額,勞動部勞工保險局,每年,政府資料開放授權條款-第1版,,免費,"陳淑惠 小姐",02-23961266#3192,"2015/03/30 08:00","2018/07/27 15:07","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
13357,勞工保險職業災害住院給付件數、金額(地區),求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17010000J-000051-SoC;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000051-H56;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000051-aL4;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000051-rRT,UTF-8;UTF-8;UTF-8;UTF-8,b01,最近一年度之勞保職災住院給付件數、金額－按性別、地區別分,統計期;縣市;男件數;男金額;女件數;女金額,勞動部勞工保險局,每年,政府資料開放授權條款-第1版,,免費,"陳淑惠 小姐",02-23961266#3192,"2015/03/30 08:00","2018/07/27 15:07","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
13358,勞工保險職業災害住院給付件數、金額(年齡),求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17010000J-000052-fGk;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000052-UES;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000052-0PJ;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000052-SDl,UTF-8;UTF-8;UTF-8;UTF-8,b01,最近一年度之勞保職災住院給付件數、金額－按性別、年齡組別分,統計期;年齡組別;男件數;男金額;女件數;女金額,勞動部勞工保險局,每年,政府資料開放授權條款-第1版,,免費,"陳淑惠 小姐",02-23961266#3192,"2015/03/30 08:00","2018/07/27 15:07","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
13359,勞工保險職業災害住院給付件數、金額(行業),求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17010000J-000053-sfm;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000053-NbE;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000053-SnI;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000053-p6l,UTF-8;UTF-8;UTF-8;UTF-8,b01,最近一年度之勞保職災住院給付件數、金額－按性別、行業別分,統計期;行業;男件數;男金額;女件數;女金額,勞動部勞工保險局,每年,政府資料開放授權條款-第1版,,免費,"陳淑惠 小姐",02-23961266#3192,"2015/03/30 08:00","2018/07/27 15:07","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
13360,勞工保險職業災害門診給付件數、金額(地區),求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17010000J-000054-xag;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000054-voG;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000054-MH3;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000054-mlc,UTF-8;UTF-8;UTF-8;UTF-8,b01,最近一年度之勞保職災門診給付件數、金額－按性別、地區別分,統計期;縣市;男件數;男金額;女件數;女金額,勞動部勞工保險局,每年,政府資料開放授權條款-第1版,,免費,"陳淑惠 小姐",02-23961266#3192,"2015/03/30 08:00","2018/07/27 15:07","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
13361,勞工保險職業災害門診給付件數、金額(年齡),求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17010000J-000055-IhO;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000055-cEv;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000055-Y4f;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000055-sbS,UTF-8;UTF-8;UTF-8;UTF-8,b01,最近一年度之勞保職災門診給付件數、金額－按性別、年齡組別分,統計期;年齡組別;男件數;男金額;女件數;女金額,勞動部勞工保險局,每年,政府資料開放授權條款-第1版,,免費,"陳淑惠 小姐",02-23961266#3192,"2015/03/30 08:00","2018/07/27 15:07","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
13362,勞工保險職業災害門診給付件數、金額(行業),求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17010000J-000056-JJO;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000056-z2P;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000056-ESX;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000056-CxW,UTF-8;UTF-8;UTF-8;UTF-8,b01,最近一年度之勞保職災門診給付件數、金額－按性別、行業別分,統計期;行業;男件數;男金額;女件數;女金額,勞動部勞工保險局,每年,政府資料開放授權條款-第1版,,免費,"陳淑惠 小姐",02-23961266#3192,"2015/03/30 08:00","2018/07/27 15:07","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
13363,勞工保險預防職業病健檢給付件數、金額(地區),求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17010000J-000057-xxH;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000057-wJG;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000057-8iT;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000057-4Gd,UTF-8;UTF-8;UTF-8;UTF-8,b01,最近一年度之勞保預防健檢給付件數、金額－按性別、地區別分,統計期;縣市;男件數;男金額;女件數;女金額,勞動部勞工保險局,每年,政府資料開放授權條款-第1版,,免費,"陳淑惠 小姐",02-23961266#3192,"2015/03/30 08:00","2018/07/27 15:07","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
13364,勞工保險預防職業病健檢給付件數、金額(年齡),求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17010000J-000058-mcY;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000058-Re7;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000058-BSe;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000058-YZF,UTF-8;UTF-8;UTF-8;UTF-8,b01,最近一年度之勞保預防健檢給付件數、金額－按性別、年齡組別分,統計期;年齡組別;男件數;男金額;女件數;女金額,勞動部勞工保險局,每年,政府資料開放授權條款-第1版,,免費,"陳淑惠 小姐",02-23961266#3192,"2015/03/30 08:00","2018/07/27 15:07","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
13365,勞工保險預防職業病健檢給付件數、金額(行業),求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17010000J-000059-xWr;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000059-wAP;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000059-VQw;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000059-8US,UTF-8;UTF-8;UTF-8;UTF-8,b01,最近一年度之勞保預防健檢給付件數、金額－按性別、行業別分,統計期;行業;男件數;男金額;女件數;女金額,勞動部勞工保險局,每年,政府資料開放授權條款-第1版,,免費,"陳淑惠 小姐",02-23961266#3192,"2015/03/30 08:00","2018/07/27 15:07","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
13366,農保身心障礙給付不給付統計表,求職及就業,CSV;JSON;WEBSERVICES;XML;CSV;JSON;WEBSERVICES;XML;CSV;JSON;WEBSERVICES;XML;CSV;JSON;WEBSERVICES;XML;CSV;JSON;WEBSERVICES;XML;CSV;JSON;WEBSERVICES;XML;CSV;JSON;WEBSERVICES;XML;CSV;JSON;WEBSERVICES;XML;CSV;JSON;WEBSERVICES;XML;CSV;JSON;WEBSERVICES;XML;CSV;JSON;WEBSERVICES;XML;CSV;JSON;WEBSERVICES;XML;CSV;JSON;WEBSERVICES;XML;CSV;JSON;WEBSERVICES;XML;CSV;JSON;WEBSERVICES;XML;CSV;JSON;WEBSERVICES;XML;CSV;JSON;WEBSERVICES;XML;CSV;JSON;WEBSERVICES;XML;CSV;JSON;WEBSERVICES;XML;CSV;JSON;WEBSERVICES;XML;CSV;JSON;WEBSERVICES;XML;CSV;JSON;WEBSERVICES;XML;CSV;JSON;WEBSERVICES;XML;CSV;JSON;WEBSERVICES;XML;CSV;JSON;WEBSERVICES;XML;CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-L2U;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-LEZ;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-JjT;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-XAX;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-rGw;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-L4o;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-kLl;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-8Uq;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-xYU;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-jcb;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-XKo;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-Ktq;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-I9k;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-Y9r;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-tYp;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-Cpz;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-5PU;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-m40;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-Vjo;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-HJZ;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-1b5;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-Vps;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-Y3L;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-7rO;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-HAQ;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-1UZ;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-LEF;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-9a2;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-g4j;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-m1s;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-Usk;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-xRC;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-Whu;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-VtT;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-4HU;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-8n9;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-pL6;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-U0k;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-unV;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-7lc;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-GZi;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-eOr;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-aJW;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-vTJ;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-C4O;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-rcy;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-Kof;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-Ttz;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-gPX;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-cLK;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-5Nu;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-XEM;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-Vw4;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-dyh;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-ier;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-AkS;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-NkQ;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-Wyg;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-O2v;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-Ayl;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-9Ff;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-0PY;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-Vr2;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-EEV;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-xi6;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-b97;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-Uca;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-wjc;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-KcT;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-sR4;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-n3u;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-r9z;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-yBg;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-bU2;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-gKI;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-42F;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-Q0P;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-iPx;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-lKw;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-GJL;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-Q8m;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-1u2;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-u7B;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-dQo;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-Irl;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-hYv;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-E0k;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-jqd;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-jYo;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-YCR;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-tpr;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-nVw;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-xOt;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-lJl;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-Tb6;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-EEZ;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-SGV;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-C8R;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-X6v;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-Vb3;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-Yu2;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-ghY;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000060-zCX;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000060-uql,UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8,b01,提供農保身心障礙給付每月各障礙項目不給付案件統計資料,年月;等級;項目;件數,勞動部勞工保險局,每月,政府資料開放授權條款-第1版,,免費,"林芳微 小姐",02-23961266#1088,"2015/03/30 08:00","2018/09/07 14:26","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
13367,農保被保險人已領取勞保老年給付人數統計表,求職及就業,CSV;JSON;WEBSERVICES;XML,https://apiservice.mol.gov.tw/OdService/download/A17010000J-000061-RLc;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000061-ogA;https://apiservice.mol.gov.tw/OdService/rest/datastore/A17010000J-000061-mAh;https://apiservice.mol.gov.tw/OdService/download/A17010000J-000061-6kd,UTF-8;UTF-8;UTF-8;UTF-8,b01,提供農保被保險人過去已領取勞保老年給付，含勞保老年一次金與勞保老年年金給付之人數統計資料,年月別;年齡;勞保一次金-男性;勞保一次金-女性;勞保年金-男性;勞保年金-女性,勞動部勞工保險局,每月,政府資料開放授權條款-第1版,,免費,"蔡育婕 小姐",02-23961266#1024,"2015/03/30 08:00","2018/10/01 11:07","勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/"
